 1148.70   17.303 0.088  16.538 0.042  15.930 0.042  14.998 0.044
 1150.70   17.111 0.093  16.551 0.060  15.949 0.065  14.954 0.063
 1152.70   17.123 0.037  16.525 0.025  15.981 0.025  15.070 0.028
 1162.70   20.618 1.229  15.987 0.279  16.101 0.296  15.274 0.321
 1168.70   17.284 0.045  16.734 0.029  16.084 0.030  15.126 0.034
 1171.70   17.271 0.105  16.689 0.042  16.138 0.046  15.195 0.047
 1174.70   18.047 0.139  16.757 0.028  16.153 0.030  15.217 0.032
 1177.70   17.344 0.129  16.926 0.066  16.148 0.069  15.251 0.072
 1192.70   99.999 9.999  16.849 0.019  16.226 0.020  99.999 9.999
 1195.70   99.999 9.999  16.853 0.021  16.260 0.023  99.999 9.999
 1387.00   99.999 9.999  99.999 9.999  16.894 0.027  16.257 0.055
 1401.00   99.999 9.999  17.527 0.036  16.869 0.039  99.999 9.999
 1441.90   18.149 0.109  17.948 0.077  17.085 0.079  16.754 0.083
