#DAYS	B_MAG	B_ERR	V_MAG	V_ERR	R_MAG	R_ERR	I_MAG	I_ERR	J_MAG	J_ERR	H_MAG	H_ERR	K_MAG	K_ERR
0	0	0	0	0	16.9	0	0	0	0	0	0	0	0	0
111	17.273	0.216	16.692	0.068	15.97	0.032	15.173	0.029	0	0	0	0	0	0
113	17.603	0.131	16.535	0.061	16.06	0.034	15.131	0.034	0	0	0	0	0	0
115	17.201	0.083	16.785	0.049	15.906	0.021	15.1	0.024	0	0	0	0	0	0
125	16.974	0.052	16.695	0.048	16.031	0.03	15.216	0.027	0	0	0	0	0	0
131	17.439	0.13	16.915	0.056	16.073	0.029	15.196	0.025	0	0	0	0	0	0
134	17.342	0.261	16.869	0.071	16.194	0.045	15.289	0.032	0	0	0	0	0	0
137	17.005	0.078	16.971	0.096	16.163	0.038	15.323	0.037	0	0	0	0	0	0
140	17.223	0.128	17.017	0.074	16.278	0.047	15.429	0.046	0	0	0	0	0	0
155	0	0	16.924	0.045	16.141	0.022	0	0	0	0	0	0	0	0
158	0	0	16.816	0.045	16.14	0.024	0	0	0	0	0	0	0	0
108	0	0	0	0	0	0	0	0	14.074	0.009	13.631	0.01	13.27	0.015
142	0	0	0	0	0	0	0	0	14.409	0.009	13.942	0.011	13.455	0.015
157	0	0	0	0	0	0	0	0	14.521	0.009	14.061	0.011	13.547	0.015
349	0	0	0	0	16.894	0.027	16.257	0.055	0	0	0	0	0	0
363	0	0	17.527	0.036	16.869	0.039	0	0	0	0	0	0	0	0
404	18.149	0.109	17.948	0.077	17.085	0.079	16.754	0.083	0	0	0	0	0	0
428	18.437	0.083	18.020	0.063	17.112	0.035	0	0	0	0	0	0	0	0

