#DAYS	13522_MAG	13522_ERR	99em_MAG	99em_ERR	98S_MAG	98S_ERR	88Z_MAG	87A_MAG	10jl_MAG	10jl_ERR	97cy_MAG
0	18.1	0.2	0	0	0	0	0	4.37	13.362	0.024	16.783
0.02	0	0	0	0	0	0	0	4.4	0	0	0
1	0	0	0	0	0	0	0	0	13.366	0.024	0
1.07	0	0	0	0	0	0	0	4.21	0	0	0
1.1	0	0	0	0	0	0	0	4.22	0	0	0
1.98	0	0	0	0	0	0	0	4.16	0	0	0
2	0	0	0	0	0	0	15.93	4.11	0	0	0
2.06	0	0	0	0	0	0	0	4.1	0	0	0
2.14	0	0	0	0	0	0	0	4.11	0	0	0
2.2	0	0	0	0	0	0	0	4.14	0	0	0
3.03	0	0	0	0	0	0	0	0	13.358	0.031	0
3.13	0	0	0	0	0	0	0	4.05	0	0	0
3.2	0	0	0	0	0	0	0	4.09	0	0	0
4.04	0	0	0.11359	0.01041	0	0	15.98	0	0	0	0
4.06	0	0	0	0	0	0	0	4.05	0	0	0
4.4	0	0	0	0	0	0	0	4.09	0	0	0
4.98	0	0	0	0	0	0	0	0	13.416	0.029	0
5	16.9	0.2	0	0	0	0	0	0	0	0	0
5.05	0	0	0	0	0	0	0	4.05	0	0	0
5.08	0	0	0.06921	0.01001	0	0	0	0	0	0	0
5.3	0	0	0	0	0	0	0	4.08	0	0	0
6	0	0	0	0	0	0	0	0	13.401	0.024	0
6.08	0	0	0.03117	0.01	0	0	0	0	0	0	0
6.3	0	0	0	0	0	0	0	4.05	0	0	0
6.99	0	0	0	0	0	0	0	4	13.43	0.024	0
7	0	0	0	0	0	0	0	4	0	0	0
7.02	0	0	0.03114	0.01004	0	0	0	0	0	0	0
7.2	0	0	0	0	0	0	0	4.03	0	0	0
7.98	0	0	0	0	0	0	0	0	13.404	0.024	0
8.09	0	0	0.02029	0.01004	0	0	0	0	0	0	0
8.14	0	0	0	0	0	0	0	3.96	0	0	0
8.2	0	0	0	0	0	0	0	3.97	0	0	0
8.3	0	0	0	0	0	0	0	3.95	0	0	0
8.97	0	0	0	0	0	0	0	3.94	0	0	0
9	0	0	0	0	0	0	0	0	13.44	0.024	0
9.1	0	0	0	0	0	0	0	3.91	0	0	0
9.2	0	0	0	0	0	0	0	3.94	0	0	0
9.3	0	0	0	0	0	0	0	3.9	0	0	0
9.96	0	0	0	0	0	0	0	3.89	0	0	0
10.06	0	0	0.01322	0.01012	0	0	0	0	0	0	0
10.97	0	0	0	0	0	0	0	3.84	0	0	0
11.05	0	0	0.01936	0.01008	0	0	0	0	0	0	0
11.3	0	0	0	0	12.34	0.13	0	0	0	0	0
12	16.1	0.2	0	0	0	0	0	0	0	0	0
12.06	0	0	0.01431	0.01007	0	0	0	0	0	0	0
12.1	0	0	0	0	0	0	0	3.81	0	0	0
12.3	0	0	0	0	0	0	0	3.79	0	0	0
12.3	0	0	0	0	0	0	0	3.8	0	0	0
12.95	0	0	0	0	0	0	0	3.78	0	0	0
13.01	0	0	0	0	0	0	0	0	13.471	0.026	0
13.3	0	0	0	0	0	0	0	3.76	0	0	0
13.4	0	0	0	0	12.18	0.09	0	0	0	0	0
13.95	0	0	0	0	0	0	0	3.75	0	0	0
14.01	0	0	-0.01044	0.01701	0	0	0	0	0	0	0
14.2	0	0	0	0	0	0	0	3.73	0	0	0
14.3	0	0	0	0	0	0	0	3.72	0	0	0
14.95	0	0	0	0	0	0	0	3.72	0	0	0
14.97	0	0	0	0	0	0	0	0	0	0	16.96
15.3	0	0	0	0	0	0	0	3.69	0	0	0
15.7	0	0	0	0	12.12	0.1	0	0	0	0	0
15.95	0	0	0	0	0	0	0	3.68	0	0	0
15.96	0	0	0	0	0	0	0	0	13.505	0.024	0
16	0	0	-0.04106	0.01015	0	0	0	0	0	0	0
16.11	0	0	0	0	0	0	0	3.68	0	0	0
16.7	0	0	0	0	12.34	0.13	0	0	0	0	0
16.95	0	0	0	0	0	0	0	3.66	0	0	0
17.03	0	0	-0.05585	0.01009	0	0	0	0	0	0	0
17.06	0	0	0	0	0	0	0	0	13.507	0.024	0
17.3	0	0	0	0	0	0	0	3.56	0	0	0
18.02	0	0	-0.04213	0.01016	0	0	0	0	0	0	0
18.3	0	0	0	0	0	0	0	3.61	0	0	0
19.07	0	0	-0.0189	0.01676	0	0	0	0	0	0	0
19.3	0	0	0	0	0	0	0	3.58	0	0	0
19.97	0	0	0	0	0	0	0	3.56	0	0	0
20.95	0	0	0	0	0	0	0	3.53	0	0	0
21.02	0	0	0	0	0	0	0	0	13.534	0.024	0
21.04	0	0	-0.01406	0.01184	0	0	0	0	0	0	0
21.95	0	0	0	0	0	0	0	3.5	0	0	0
22.3	0	0	0	0	0	0	0	3.47	0	0	0
22.95	0	0	0	0	0	0	0	3.45	0	0	0
23	0	0	0	0	0	0	16.04	0	0	0	0
23.08	0	0	0	0	0	0	0	3.46	0	0	0
23.3	0	0	0	0	0	0	0	3.44	0	0	0
