#DAYS	B_MAG	B_ERR	V_MAG	V_ERR	R_MAG	R_ERR	I_MAG	I_ERR	J_MAG	J_ERR	H_MAG	H_ERR	K_MAG	K_ERR
0	0	0	0	0	16.9	0	0	0	0	0	0	0	0	0
111	17.303	0.088	16.538	0.042	15.93	0.042	14.998	0.044	0	0	0	0	0	0
113	17.111	0.093	16.551	0.06	15.949	0.065	14.954	0.063	0	0	0	0	0	0
115	17.123	0.037	16.525	0.025	15.981	0.025	15.07	0.028	0	0	0	0	0	0
125	20.618	1.229	15.987	0.279	16.101	0.296	15.274	0.321	0	0	0	0	0	0
131	17.284	0.045	16.734	0.029	16.084	0.03	15.126	0.034	0	0	0	0	0	0
134	17.271	0.105	16.689	0.042	16.138	0.046	15.195	0.047	0	0	0	0	0	0
137	18.047	0.139	16.757	0.028	16.153	0.03	15.217	0.032	0	0	0	0	0	0
140	17.344	0.129	16.926	0.066	16.148	0.069	15.251	0.072	0	0	0	0	0	0
155	0	0	16.849	0.019	16.226	0.02	0	0	0	0	0	0	0	0
158	0	0	16.853	0.021	16.26	0.023	0	0	0	0	0	0	0	0
108	0	0	0	0	0	0	0	0	14.074	0.009	13.631	0.01	13.27	0.015
142	0	0	0	0	0	0	0	0	14.409	0.009	13.942	0.011	13.455	0.015
157	0	0	0	0	0	0	0	0	14.521	0.009	14.061	0.011	13.547	0.015
349	0	0	0	0	16.894	0.027	16.257	0.055	0	0	0	0	0	0
363	0	0	17.527	0.036	16.869	0.039	0	0	0	0	0	0	0	0
404	18.149	0.109	17.948	0.077	17.085	0.079	16.754	0.083	0	0	0	0	0	0
428	18.437	0.083	18.020	0.063	17.112	0.035	0	0	0	0	0	0	0	0

